Formula ID,Treaty,Category,Formula Name,Formula (BRD),Input Variables,Worked Example,Expected Output,Verification Method,Notes
F-GIB-PREM-005,Gibraltar,RI Premium Accident,Layer Accident similar to Life but with age cap,"If Age > 70 (config): RIPremAcc = 0, else apply same Layer logic","Age=65; PremAcc=3000; MemberSA=3M","All in L1: round(0.15 x 3000, 2) = 450.00","450.00","SQL","Per BRD with age cap"
F-GIB-PREM-006,Gibraltar,RI Premium Accident,Over-age exclusion,"If Age > 70: RIPremAcc = 0","Age=72; PremAcc=3000","RIPremAcc = 0","0","SQL","Per BRD age cap"
F-GIB-CLAIM-001,Gibraltar,Claim Recovery Life,Layer 1 Claim Recovery,"ClaimRecLife_L1 = round(15% x ClaimAmount x (L1_SA / MemberSA), 2)","ClaimAmount=2,000,000; MemberSA=3M; L1_SA=3M","round(0.15 x 2M x (3/3), 2) = 300,000.00","300000.00","SQL","Per BRD"
F-GIB-CLAIM-002,Gibraltar,Claim Recovery Life,Multi-layer claim,"ClaimRecLife_Total = round(15% x ClaimAmount x L1_SA/MemberSA + 100% x ClaimAmount x L2_SA/MemberSA + ..., 2)","ClaimAmount=7M; MemberSA=7M; L1=5M, L2=2M","Recovery L1 = round(15% x 7M x 5/7, 2) = 750,000.00
Recovery L2 = round(100% x 7M x 2/7, 2) = 2,000,000.00
Total = 2,750,000.00","2750000.00","SQL","Per BRD"
F-GIB-CLAIM-003,Gibraltar,Claim Recovery Accident,Same as Life with age cap,"Same formula; 0 if age > 70","Age=75; Accident claim=1M","Recovery = 0","0","SQL","Per BRD"
F-GIB-COMM-001,Gibraltar,RI Commission,Life Commission,"RICommLife = round(50% x RIPremLife, 2)","RIPremLife=3928.57","round(0.5 x 3928.57, 2) = 1964.29","1964.29","SQL","Per BRD 50%"
F-GIB-COMM-002,Gibraltar,RI Commission,Accident Commission,"RICommAcc = round(50% x RIPremAcc, 2)","RIPremAcc=30000","15000.00","15000.00","SQL","Per BRD 50%"
F-GIB-PC-001,Gibraltar,Profit Commission Q4,Earned Premium,"EarnedPrem = AnnualPrem x (1 - ReservePct); ReservePct = 50% per BRD","AnnualPrem=10M","10M x 0.50 = 5M","5000000","SQL","Per BRD reserve 50%"
F-GIB-PC-002,Gibraltar,Profit Commission Q4,PC Base,"PCBase = EarnedPrem - YearClaim - ReinsurerExpense","EarnedPrem=5M; YearClaim=4M; ReinsurerExp=400K","5M - 4M - 400K = 600,000","600000","SQL","Per BRD"
F-GIB-PC-003,Gibraltar,Profit Commission Q4,PC Amount,"PC = MAX(0, PCBase x ER_Rate)","PCBase=600K; ER_Rate=15%","MAX(0, 600K x 0.15) = 90,000","90000","SQL","Per BRD; non-negative"
F-GIB-PC-004,Gibraltar,Profit Commission Q4,Loss Year,"PC = MAX(0, ...)","PCBase = -4.4M (loss)","MAX(0, -660K) = 0","0","SQL","Per BRD no negative PC"
F-GIB-PC-005,Gibraltar,Profit Commission Q4,Minimum Cession threshold,"If TotalCession < 200: No PC","TotalCession=150","No PC paid","No PC","Logic check","Per BRD minimum"
F-THA-SA-001,Thaire,SA Reassured,Under Retention (SA <= 400K),"SAReas = 0","MemberSA=300000","0","0","SQL","Per BRD Retention 400K"
F-THA-SA-002,Thaire,SA Reassured,QS Layer (400K < SA <= 2M),"SAReas = (MemberSA - 400000) x 50%","MemberSA=1000000","(1M - 400K) x 0.5 = 300,000","300000","SQL","Per BRD QS 50%"
F-THA-SA-003,Thaire,SA Reassured,QS Max (SA = 2M),"SAReas = (2M - 400K) x 50% = 800K","MemberSA=2000000","(2M - 400K) x 0.5 = 800,000","800000","SQL","Per BRD QS max"
F-THA-SA-004,Thaire,SA Reassured,QS + Surplus (2M < SA <= 10M),"SAReas = 800K + (MemberSA - 2M) x 100%","MemberSA=5000000","800K + (5M - 2M) x 1.0 = 800K + 3M = 3,800,000","3800000","SQL","Per BRD QS 800K + Surplus 100%"
F-THA-SA-005,Thaire,SA Reassured,AAL Cap (SA = 10M),"SAReas = 800K + 8M = 8,800,000","MemberSA=10000000","800K + 8M = 8,800,000","8800000","SQL","Per BRD AAL boundary"
F-THA-SA-006,Thaire,SA Reassured,Above AAL (SA > 10M),"SAReas = 8,800,000 (capped)","MemberSA=12000000","8,800,000 (excess 1.2M not ceded)","8800000","SQL","Per BRD AAL cap"
F-THA-PREM-001,Thaire,RI Premium,Base RI Premium,"BasePrem = RateLookup(Age, Type, Class) x SAReassured / 1000","Age=35; Type=I; Class=1; SAReas=300K
Rate=1.10","1.10 x 300K / 1000 = 1.10 x 300 = 330","330","SQL with rate table lookup","Per BRD rate per 1000 SA"
F-THA-PREM-002,Thaire,RI Premium,After Murder Discount,"PremAfterMD = BasePrem x (1 - MurderDiscount)","BasePrem=330; Murder=25% -> Discount=15%","330 x (1 - 0.15) = 330 x 0.85 = 280.50","280.50","SQL","Per BRD Table Murder Discount"
F-THA-PREM-003,Thaire,RI Premium,After Volume Discount,"PremAfterVol = PremAfterMD x (1 - VolumeDiscount)","PremAfterMD=280.50; Group=200 -> Volume Discount=20%","280.50 x (1 - 0.20) = 280.50 x 0.80 = 224.40","224.40","SQL","Per BRD Group Volume Discount"
F-THA-PREM-004,Thaire,RI Premium,Final RI Premium,"RIPremium = round(PremAfterVol, 2)","PremAfterVol=224.40","224.40","224.40","SQL","Final round"
F-THA-COMM-001,Thaire,RI Commission,Commission Calc,"RIComm = round(25% x RIPremium, 2)","RIPremium=10000","round(0.25 x 10000, 2) = 2500.00","2500.00","SQL","Per BRD 25%"
F-THA-RATE-001,Thaire,Rate Lookup,Age 35 Type I Class 1,"RateLookup(35, I, 1) = 1.10","Age=35; Type=I; Class=1","1.10","1.10","Table lookup","Per BRD Table"
F-THA-RATE-002,Thaire,Rate Lookup,Age 35 Type II Class 1,"RateLookup(35, II, 1) = 1.56","Age=35; Type=II; Class=1","1.56","1.56","Table lookup","Per BRD"
F-THA-RATE-003,Thaire,Rate Lookup,Age 60 vs 61 boundary,"Age 60 Type I Class 1 = 1.10; Age 61 = 1.33","Age=60 vs 61","1.10 vs 1.33","Rate change at age 61","Table lookup","Per BRD age band"
F-THA-RATE-004,Thaire,Rate Lookup,Age 75 Type II Class 4,"RateLookup(75, II, 4) = 4.22","Age=75; Type=II; Class=4","4.22","4.22","Table lookup","Per BRD highest band"
F-THA-MD-001,Thaire,Murder Discount,No Murder (0%),"Discount = 20%","Murder=0%","20%","Apply x 0.80","Lookup","Per BRD Table"
F-THA-MD-002,Thaire,Murder Discount,25% Murder,"Discount = 15%","Murder=25%","15%","Apply x 0.85","Lookup","Per BRD Table"
F-THA-MD-003,Thaire,Murder Discount,50% Murder,"Discount = 10%","Murder=50%","10%","Apply x 0.90","Lookup","Per BRD Table"
F-THA-MD-004,Thaire,Murder Discount,75% Murder,"Discount = 5%","Murder=75%","5%","Apply x 0.95","Lookup","Per BRD Table"
F-THA-MD-005,Thaire,Murder Discount,100% Murder,"Discount = 0%","Murder=100%","0%","No discount","Lookup","Per BRD Table"
F-THA-VOL-001,Thaire,Volume Discount,Group 20-49,"Discount = 10%","Group Size=20-49","10%","Apply x 0.90","Lookup","Per BRD"
F-THA-VOL-002,Thaire,Volume Discount,Group 50-99,"Discount = 15%","Group Size=50-99","15%","Apply x 0.85","Lookup","Per BRD"
F-THA-VOL-003,Thaire,Volume Discount,Group 100-199,"Discount = 20%","Group Size=100-199","20%","Apply x 0.80","Lookup","Per BRD"
F-THA-VOL-004,Thaire,Volume Discount,Group 200-999,"Discount = 25%","Group Size=200-999","25%","Apply x 0.75","Lookup","Per BRD"
F-THA-VOL-005,Thaire,Volume Discount,Group 1000-9999,"Discount = 30%","Group Size=1000-9999","30%","Apply x 0.70","Lookup","Per BRD"
F-THA-VOL-006,Thaire,Volume Discount,Group 10000+,"Discount = 35%","Group Size>=10000","35%","Apply x 0.65","Lookup","Per BRD"
F-THA-PC-001,Thaire,Profit Commission Q4,Earned Premium,"EarnedPrem = AnnualRIPrem x (1 - ReservePct); Reserve=50%","AnnualRIPrem=5M","5M x 0.5 = 2.5M","2500000","SQL","Per Policy Profit Commission spec"
F-THA-PC-002,Thaire,Profit Commission Q4,Admin Expense,"AdminExp = AnnualRIPrem x 10%","AnnualRIPrem=5M","5M x 0.1 = 500K","500000","SQL","Per BRD 10% admin"
F-THA-PC-003,Thaire,Profit Commission Q4,PC Calc,"PC = MAX(0, (EarnedPrem - Claim - AdminExp) x ER_Rate)","EarnedPrem=2.5M; Claim=2M; AdminExp=500K; ER_Rate=0%","MAX(0, 0 x 0%) = 0","0","SQL","Per BRD; ER_Rate per policy"
F-XCHK-001,All,Cross-check,BDR Premium = SOA Premium,"SUM(BDR.RIPremium) = SUM(SOA.RIPremium) per period per treaty","Period=2026-04 Treaty=Gibraltar","BDR total = SOA total","Equal (within 0.01 tolerance)","SQL JOIN","Layout consistency"
F-XCHK-002,All,Cross-check,Member sum = Policy total,"SUM(Member.RIPremium per Policy) = Policy.RIPremium","For each Policy","Equal","Equal","SQL aggregate","Aggregation consistency"
F-XCHK-003,All,Cross-check,Layer sum = Member SA,"L1_SA + L2_SA + L3_SA = MemberSA","Each member","Equal","Equal","SQL","Per BRD"
F-XCHK-004,All,Cross-check,RI Premium + Retention = Original Premium,"Treaty cede + retained = total per BRD","Per policy","Sums match","Equal","SQL","Reconciliation"
F-XCHK-005,All,Cross-check,Q Actual = sum of 3 monthly Estimate,"AVG variance acceptable per BRD","Per treaty per Q","Within tolerance","Acceptable variance","SQL","Quarterly vs monthly"
F-ROUND-001,All,Rounding,2-decimal precision,"All amounts round(x, 2)","Various","Verify all amounts","All 2-decimal","SQL CHECK","Per BRD round(...,2)"
F-ROUND-002,All,Rounding,Consistency same input,"Same input -> same output","Run twice","Identical","Identical","SQL re-run compare","Deterministic"
F-ROUND-003,All,Rounding,Cascade rounding,"Round at each step OR sum then round?","Multiple rounds in formula","Per BRD: round at each step","Each step round(..., 2)","Manual verify","Per BRD wording"
F-EDGE-001,All,Edge Case,Zero values,"All zero input -> zero output","RIPremium=0","RIComm=0","0","SQL","Edge"
F-EDGE-002,All,Edge Case,Very large numbers,"SA = 100M; check overflow","SA=100,000,000","No overflow; calc correct","Correct without overflow","SQL data type check","Decimal precision"
F-EDGE-003,All,Edge Case,Decimal in fractional cession,"Member SA 3,333,333 spans layers","Member SA=3.33M","All in L1: 3,333,333","L1=3,333,333","SQL","Fractional"
F-EDGE-004,All,Edge Case,Negative values,"Should never have negative","Check all calc","Always >= 0","No negative","SQL CHECK","Sign check"
F-EDGE-005,Thaire,Edge Case,Age band boundary,"Age 60 vs 61 boundary","Member age 60 -> 61 birthday","Rate changes at 61","Different rate","Table lookup","Per BRD age band"
F-EDGE-006,Gibraltar,Edge Case,Member SA exactly at boundary,"SA = 5,000,000 (L1/L2 boundary)","SA=5M","All in L1; L2=0","L1=5M; L2=0; L3=0","SQL","Per BRD inclusive"
F-EDGE-007,Gibraltar,Edge Case,Member SA exactly at L2/L3 boundary,"SA = 20,000,000","SA=20M","L1=5M; L2=15M; L3=0","Per BRD","SQL","Per BRD inclusive"
F-EDGE-008,Thaire,Edge Case,Retention boundary,"SA = 400,000 exactly","SA=400K","SAReas = 0","0","SQL","Retention inclusive (SA <= 400K = no cession)"
F-EDGE-009,Thaire,Edge Case,QS boundary,"SA = 2,000,000 exactly","SA=2M","SAReas = 800K (all QS)","800000","SQL","QS boundary"
F-EDGE-010,Thaire,Edge Case,AAL boundary,"SA = 10,000,000 exactly","SA=10M","SAReas = 8.8M","8800000","SQL","AAL inclusive"
