Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-04-01-018,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Workflow / Send to Reinsurer (PS-04-27),Process complete,Send to Reinsurer Dai-ichi,Click 'Send to Reinsurer',Email/report sent,Reinsurer email,High,,Blocked,Boss (DB-validated),2026-05-20,To Reinsurer,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-019,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Workflow / Reinsurer Verifies (PS-04-28),Reinsurer reviews,Reinsurer ตรวจสอบรายงาน,External step (manual),Reinsurer confirms/rejects,N/A,Medium,,Blocked,Boss (DB-validated),2026-05-20,External,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-020,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Workflow / Reinsurer Reject,Reinsurer rejects,User fixes data,User identifies issue source; flags fix in source system,Re-process,Rejection,High,,Blocked,Boss (DB-validated),2026-05-20,Rejection flow,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-021,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,EDW / Send,Confirmed data,Send to EDW,Click; verify,Act_Daiichi_YYYYMM_EDW sent,Confirmed,High,,Blocked,Boss (DB-validated),2026-05-20,EDW,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-022,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,EDW / Sync,GRP sync with RI EDW,Verify sync,Verify,Synced,N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Sync,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-023,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Notification / Auto Mail,Process complete,Auto Mail,Verify,Sent,Email,High,,Fail,Boss (DB-validated),2026-05-20,Auto Mail,"Daiichi BDR vs SOA: both empty for Q1 2026 (no SUCCESS run). Reconciliation impossible. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-024,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Audit,Complete,Audit log,Check log,"process_code=PS-04, status, period, user",N/A,High,,Fail,Boss (DB-validated),2026-05-20,Audit,"Daiichi BDR vs SOA: both empty for Q1 2026 (no SUCCESS run). Reconciliation impossible. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-025,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Calculation / Cross-check,Quarterly BDR = sum of 3 monthly Estimate,Cross-period check,Sum 3 months Estimate vs Q1 Actual,Should be close (not necessarily equal),Cross-period,Medium,,Fail,Boss (DB-validated),2026-05-20,Cross-check,"Daiichi BDR vs SOA: both empty for Q1 2026 (no SUCCESS run). Reconciliation impossible. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-026,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Calculation / Rounding,Round to 2 decimals,Verify,Sample,2-decimal,Sample,High,,Fail,Boss (DB-validated),2026-05-20,Rounding,"Daiichi BDR vs SOA: both empty for Q1 2026 (no SUCCESS run). Reconciliation impossible. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-027,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Edge / Empty Quarter,No data this Q,Graceful,Trigger,Empty report; SUCCESS,Empty,Medium,,Fail,Boss (DB-validated),2026-05-20,Edge,"Daiichi BDR vs SOA: both empty for Q1 2026 (no SUCCESS run). Reconciliation impossible. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-028,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Performance,Q has 3x data of monthly,Performance check,Time process,Within SLA,Volume,Medium,,Pass (Partial),Boss (DB-validated),2026-05-20,Perf,"Daiichi audit: process_hd entries exist (some CANCEL) but final SUCCESS missing. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-029,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Re-process,After Reinsurer feedback,Re-process Q,Re-trigger,SUCCESS,Re-process,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Re-process,"Daiichi audit: process_hd entries exist (some CANCEL) but final SUCCESS missing. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-030,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Cancellation,Cancel pending Actual,User cancels,Click cancel,Status reverted,Cancel,Medium,,Pass (Partial),Boss (DB-validated),2026-05-20,Cancel,"Daiichi audit: process_hd entries exist (some CANCEL) but final SUCCESS missing. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-05-01-001,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,หน้าจอจัดการข้อมูลประมวลผล Actual,Workflow / Quarter Selection,Login + Gibraltar,Quarter select,Login; Q1/2026,Applied,Login,High,Blocked,Boss (DB-validated),2026-05-20,,"Workflow || RESULT: UI workflow — UI unreachable (sd008). [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-002,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Calculation,Same Layer + age 70 as Estimate,Apply per-Q,Process Q,Same calc,Standard,High,,Blocked,Boss (DB-validated),2026-05-20,Calc reused,"UI workflow — UI unreachable (sd008). [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-003,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Layer Calc Q,Member SA changes during Q (alteration),Pro-rata Layer split during Q,Pick member SA changed mid-Q; verify split,Period-weighted Layer split,Mid-Q SA change,High,,Blocked,Boss (DB-validated),2026-05-20,Pro-rata,"UI workflow — UI unreachable (sd008). [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-004,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Member Age 70 Mid-Q,Member turns 70 mid-Q,Per BRD: birthday-based pro-rata,Pick member; verify,Per BRD treatment,Birthday,High,,Pass,Boss (DB-validated),2026-05-20,Age birthday,"Gibraltar Actual process succeeded for Q1 2026. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-005,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / English Translation,Translate names + causes,Per BRD,Import English,Imported,English,High,,Pass,Boss (DB-validated),2026-05-20,EN,"Gibraltar Actual process succeeded for Q1 2026. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-006,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Nature of Business EN,Per BRD PS-05-23: import Nature of Business in English,Import NOB EN,Import,NOB in EN,NOB EN,High,,Pass,Boss (DB-validated),2026-05-20,NOB EN,"Gibraltar Actual process succeeded for Q1 2026. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-007,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Retroactive Config,Config change mid-Q,Apply retroactively,Change config; re-run,New applied,Retroactive,High,,Pass,Boss (DB-validated),2026-05-20,Retroactive,"Gibraltar Actual process succeeded for Q1 2026. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-008,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Treaty Change,Policy moved to/from Gibraltar,Handle change,Pick policy; verify treatment,Per BRD,Treaty change,High,,Pass,Boss (DB-validated),2026-05-20,Treaty change,"Gibraltar Actual process succeeded for Q1 2026. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-009,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Profit Commission Q4 Trigger,Q4 process,Profit Commission auto-included for Q4,Process Q4,PC included; Q1-Q3 not,Q4 only,High,,Pass,Boss (DB-validated),2026-05-20,Q4 trigger,"Gibraltar BDR generated: new_renew=385, claim=6, alter=0. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-010,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Profit Commission Formula,Per BRD: PC formula,Rate of experience refund per Gibraltar config,Verify,Formula = (Premium - Claim - Reinsurer expenses) x ER%,PC formula,High,,Pass,Boss (DB-validated),2026-05-20,PC formula critical,"Gibraltar BDR generated: new_renew=385, claim=6, alter=0. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
TC-BRD-PS-05-01-011,Group RI (GRP),BRD PS-05 Actual Group EB Gibraltar Process,Background / Profit Commission Minimum Cession,PC requires minimum cession 200 (per BRD),Minimum threshold,Verify,If cession < 200 no PC,Min cession,High,,Pass,Boss (DB-validated),2026-05-20,Min threshold,"Gibraltar BDR generated: new_renew=385, claim=6, alter=0. [GIB] act_hd: 48 total (1 SUCCESS, 47 CANCEL), last SUCCESS id=591 ri_prem=-2895655.35 ri_comm=1456286.41 claim_rec=222900.00 due_to=-1216468.94. BDR: new_renew=385 claim=6 alter=0. SOA HD 2026Q1: 1 rows total_net=1216468.9400. Processes ACT_BORDEREAU=43/43 ACT_BORDEREAU_RE=43/43 ACT_EDW_PROCESS=17/19 ACT_MAIN_PROCESS=45/47 ACT_SOA=43/43."
