TCID,Lot,Summary,Priority,Trace,Pre-condition,Step Index,Action,Data,Expected Result
TC-07-04,3,TC-07-04 Personalization variable,P1,02-6.1,มีข้อมูลลูกค้า,1,"ใส่ตัวแปร {ชื่อ},{เลขกรมธรรม์}",Customer ชื่อ+กรมธรรม์,Preview/ส่งจริงแสดงข้อมูลลูกค้าจริง
TC-07-05,3,TC-07-05 แปลง Link เป็น Shortlink (Infobip),P2,02-6.1,-,1,ติ๊ก shorten link,,Link ถูกย่อ
TC-07-06,3,TC-07-06 นับ Character & Credit SMS,P2,02-6,-,1,พิมพ์ข้อความ SMS,,แสดงจำนวนตัวอักษร + credit ที่ใช้
TC-07-07,3,TC-07-07 SMS ภาษาไทยยาว (multi-part),P2,02-6,-,1,ใส่ข้อความไทยยาว,SMS ไทยยาว,credit คำนวณตามจำนวน segment ถูกต้อง
TC-07-08,3,TC-07-08 Preview ข้อความ,P3,02-6.1,-,1,กด Preview,,แสดงตัวอย่างตรงช่องทาง
TC-07-09,3,TC-07-09 Clone Message,P3,02-6.1,มี Message,1,Clone,,ได้ Message ใหม่
TC-08-01,3,TC-08-01 Maker สร้าง+ผูก Segment → ขออนุมัติ,P1,02-7-1,สิทธิ์ Maker,1,สร้าง Campaign + ผูก Segment + ส่งขออนุมัติ,,"สถานะ ""รออนุมัติ"""
TC-08-02,3,TC-08-02 Approver อนุมัติ → ส่งตาม 02-8,P1,02-7-2,สิทธิ์ Approver,1,กด Approve,,ระบบดำเนินการส่ง Campaign
TC-08-03,3,TC-08-03 Approver ไม่อนุมัติ → ไม่ส่ง,P1,02-7-2,สิทธิ์ Approver,1,กด Reject,,ระบบไม่ส่ง Campaign
TC-08-04,3,TC-08-04 Maker ไม่สามารถอนุมัติงานตนเอง,P1,02-7,login Maker,1,พยายามอนุมัติ,,ไม่อนุญาต
TC-08-05,3,TC-08-05 แก้ Campaign หลังอนุมัติแล้ว,P2,02-7,Campaign อนุมัติแล้ว,1,พยายามแก้หลัง Approve,,ตรวจ behavior (ควรล็อก/ขออนุมัติใหม่) — ต้อง clarify
TC-09-01,3,TC-09-01 ส่งตรงตามเวลาที่ตั้ง,P1,02-8,Campaign อนุมัติ + ตั้งเวลา,1,ถึงเวลา schedule,,ส่งครบทุกช่องทางที่ระบุ
TC-09-02,3,TC-09-02 ยึดเบอร์/อีเมลจาก CIS,P1,02-8,ลูกค้ามีข้อมูลหลายแหล่ง,1,ส่ง Campaign,Customer หลายแหล่ง,ใช้เบอร์/อีเมลจาก CIS เท่านั้น
TC-09-03,3,TC-09-03 ส่งไม่สำเร็จบางราย → สรุปจำนวน+user,P1,02-8,-,1,จำลองส่ง fail 5 ราย,ส่ง fail 5,ระบบสรุปจำนวน + รายชื่อที่ fail
TC-09-04,3,TC-09-04 ส่ง SMS ผ่าน Infobip,P2,02-8,-,1,ส่งช่องทาง SMS,,ลูกค้าได้รับ SMS
TC-09-05,3,TC-09-05 ลูกค้าได้รับครบทุกช่องทาง,P2,02-9,-,1,ตรวจปลายทาง,,ได้รับตามช่องทางที่ระบุ
TC-09-06,3,TC-09-06 ลูกค้าใน do-not-contact ไม่ได้รับ,P1,02-8,มีลูกค้า do-not-contact ใน segment,1,ส่ง Campaign,Customer do-not-contact,ไม่ส่งให้รายนั้น
TC-10-01,3,TC-10-01 เก็บจำนวนผู้รับต่อ Campaign,P1,02-10.1,ส่งเสร็จ,1,ตรวจตัวเลข,,บันทึกจำนวนถูกต้อง
TC-10-02,3,TC-10-02 เก็บวัน-เวลาเปิดอ่านราย user,P2,02-10.5,user เปิดอ่าน,1,ตรวจ log,,บันทึก timestamp ราย user
TC-10-03,3,TC-10-03 Export Raw Data by User,P2,02-10,มีข้อมูล,1,กด Export,,ได้ไฟล์ตาม Template
TC-10-04,3,TC-10-04 Automail Monthly Report,P2,02-10,สิ้นเดือน,1,วันที่ 1 เดือนถัดไป 13:00,,ส่งสรุปรายเดือนตรงเวลา
TC-10-05,3,TC-10-05 เก็บข้อมูลจนกว่าจะสั่งลบ,P3,02-10,ผ่านไปหลายเดือน,1,ตรวจข้อมูล,,ข้อมูลยังอยู่
TC-11-01,2,TC-11-01 ดึง LC ด้วยตนเอง,P1,03-01.1,เชื่อม OSSS,1,เลือก LC + ดึง,,"ข้อมูล LC เข้าระบบครบ (Agent Code, ชื่อ, ตำแหน่ง, คุณวุฒิ, ผลงาน, สาขา, จังหวัด)"
TC-11-02,2,TC-11-02 เลือก 10 รายชื่อ/จังหวัด พอดี,P1,03-01.1,-,1,เลือก 10 ชื่อใน 1 จังหวัด,,ยอมรับ
TC-11-03,2,TC-11-03 เลือก 11 รายชื่อ/จังหวัด,P1,03-01.1,-,1,เลือก 11 ชื่อ,,ปฏิเสธ/เตือนเกินกำหนด
TC-11-04,2,TC-11-04 เลือก 10 จังหวัด/ครั้ง พอดี,P1,03-01.1,-,1,เลือก 10 จังหวัด,,ยอมรับ
TC-11-05,2,TC-11-05 เลือก 11 จังหวัด/ครั้ง,P1,03-01.1,-,1,เลือก 11 จังหวัด,,ปฏิเสธ
TC-11-06,2,TC-11-06 ดึงหลายครั้งต่อวัน,P2,03-01.1,-,1,ดึงซ้ำหลายครั้ง,,ไม่จำกัดจำนวนครั้ง
TC-11-07,2,TC-11-07 LC แก้ข้อมูลใน OSSS → auto update,P2,03-01.4,LC มีในระบบ,1,แก้คุณวุฒิใน OSSS,,MCMP อัปเดตอัตโนมัติ
TC-12-01,2,TC-12-01 Lead จาก Website (auto),P1,03-05.1,เชื่อมเว็บไซต์,1,submit web form,,บันทึกเข้าระบบอัตโนมัติ
TC-12-02,2,TC-12-02 Lead จาก Facebook (manual),P1,03-05.2,สิทธิ์ User,1,บันทึกทีละราย,,บันทึกสำเร็จ
TC-12-03,2,TC-12-03 Contact Center ผ่าน VPN/VDI (WFH),P2,03-05.3,WFH + VPN,1,บันทึก Lead,,บันทึกได้
TC-12-04,2,TC-12-04 บันทึก Contact Center ไม่ผ่าน VPN (WFH),P2,03-05.3,WFH ไม่ต่อ VPN,1,พยายามบันทึก,,ไม่สามารถบันทึก
TC-12-05,2,TC-12-05 Import Lead Excel/CSV (CRM),P1,03-05.4,มีไฟล์,1,Import,ไฟล์ Lead CRM,นำเข้าหลายรายการ
TC-12-06,2,TC-12-06 Dedup 1 ช่องทาง — ยึดล่าสุด #2,P1,03-05.6.1,-,1,กรอกซ้ำ 2 ครั้งจาก Web,Lead ซ้ำ Web,เก็บข้อมูล #2 (ล่าสุด)
TC-12-07,2,TC-12-07 Dedup 1 ช่องทาง — แบบประกันต่างกัน,P1,03-05.6.1,-,1,#1 และ #2 แบบประกันต่างกัน,,แสดงทั้ง 2 แบบประกัน
TC-12-08,2,TC-12-08 Dedup 1 ช่องทาง — แบบประกันเดียวกัน,P2,03-05.6.1,-,1,#1=#2 แบบประกันเดียวกัน,,แสดงแบบประกันเดียว
TC-12-09,2,TC-12-09 Dedup 2 ช่องทาง (Web+FB),P1,03-05.6.2,-,1,เบอร์เดียวกันจาก Web และ FB,Lead Web+FB,ยึดล่าสุด + ระบุว่ามาจาก 2 ช่องทาง
TC-12-10,2,TC-12-10 Dedup 2 ช่องทาง — แบบประกันต่างกัน,P2,03-05.6.2,-,1,แบบประกันต่างกัน,,แสดงทั้ง 2 แบบประกัน
TC-12-11,2,TC-12-11 Lead ซ้ำ assign LC คนเดียว,P1,03-05.6,-,1,Lead ซ้ำหลายครั้ง,,assign LC คนเดียวกัน
TC-12-12,2,TC-12-12 นับจำนวนครั้ง/ช่องทางที่ฝาก Lead,P2,03-05.6,-,1,ฝาก 3 ครั้ง,,แสดงจำนวนครั้ง + ช่องทาง
TC-13-01,2,TC-13-01 ลูกค้าซื้อผ่าน Online,P2,03-06,Lead บันทึกแล้ว,1,เลือกช่องทาง Online,,ระบบส่งข้อมูลไป Google Sheet Digital Sale → 03-07
TC-13-02,2,TC-13-02 ลูกค้าซื้อผ่านตัวแทน,P2,03-06,Lead บันทึกแล้ว,1,เลือกช่องทางตัวแทน,,เข้าสู่เงื่อนไข Auto Assign 03-08
TC-13-03,2,TC-13-03 ส่ง Email ให้ Digital Sale (Realtime),P2,03-07,Lead online,1,บันทึก Lead online,,"ส่ง Email Realtime (ชื่อ, เบอร์, ช่วงเวลา, จังหวัด, อีเมล, แบบประกัน)"
TC-13-04,2,TC-13-04 ข้อมูลใน Email Digital Sale ครบถ้วน,P3,03-07,-,1,ตรวจเนื้อหา Email,,มีข้อมูลครบตาม BRD
TC-14-01,2,TC-14-01 Assign ตามจังหวัด (ลำดับ 1),P1,03-08.3.1,มี LC จังหวัด A,1,Lead จังหวัด A เข้าระบบ,LC จังหวัด A,assign ให้ LC จังหวัด A
TC-14-02,2,TC-14-02 ผลงานทุกงวด > บางงวด,P1,03-08.3.2/3,2 LC จังหวัดเดียวกัน,1,Lead เข้า,LC ผลงานต่างระดับ,เลือก LC ผลงานทุกงวดก่อน
TC-14-03,2,TC-14-03 Tie-break จำนวนกรมธรรม์ใหม่ 3 งวด (ไม่รวม PA),P1,03-08,ผลงานเท่ากัน,1,Lead เข้า,LC กรมธรรม์ต่างกัน,เรียงตามจำนวนกรมธรรม์ใหม่มาก→น้อย
TC-14-04,2,TC-14-04 Tie-break รายได้สะสม 3 งวด,P2,03-08,จำนวนกรมธรรม์เท่ากัน,1,Lead เข้า,,เรียงตามรายได้สะสมมาก→น้อย
TC-14-05,2,TC-14-05 Round Robin — LC ล่าสุดไปท้ายคิว,P1,03-08,มีหลาย LC ในคิว,1,assign Lead ติดกันหลายราย,,กระจายหมุนเวียน ไม่กระจุก
TC-14-06,2,TC-14-06 Assign Near-realtime,P1,03-08,-,1,บันทึก Lead,,assign ภายในเวลาสั้น
TC-14-07,2,TC-14-07 Assign ในวันหยุด,P1,03-08,-,1,บันทึก Lead วันหยุด,,ยัง assign ได้เหมือนวันทำการ
TC-14-08,2,TC-14-08 ไม่พบ candidate → Email การตลาด,P1,03-08,Lead จังหวัดไม่มี LC,1,Lead เข้า,Lead จังหวัดไม่มี LC,ส่ง Email ให้การตลาด Manual Assign
TC-14-09,2,TC-14-09 พบ candidate >1 → ตามเงื่อนไข/Manual,P1,03-08,หลาย LC เข้าเงื่อนไข,1,Lead เข้า,,ใช้เกณฑ์ลำดับ หรือเข้าสู่ Manual Assign
TC-14-10,2,TC-14-10 Lead Scoring = Hot,P1,03-08,-,1,Lead ระบุช่วงเวลา 09:00-12:00,Lead Hot,Scoring = Hot Lead
TC-14-11,2,TC-14-11 Lead Scoring = Warm,P1,03-08,-,1,Lead ไม่ระบุช่วงเวลา,Lead Warm,Scoring = Warm Lead
TC-14-12,2,TC-14-12 Assign LC คนเดียวต่อ 1 Lead,P1,03-08,-,1,Lead ใหม่,,assign 1 LC เท่านั้น
TC-14-13,2,TC-14-13 Dedup เบอร์ทุกช่องทาง/ทุกเวลา,P1,03-08,-,1,เบอร์ซ้ำเข้าหลายช่องทาง,,จับได้ว่าเป็น Lead ซ้ำ
TC-14-14,2,TC-14-14 Notify New Lead หลัง assign,P1,03-08→03-10,assign สำเร็จ,1,ตรวจ LC Connect,,แจ้งเตือน LC ผ่าน LC Connect
TC-15-01,2,TC-15-01 แสดงรายการ Lead ที่ยังไม่มี LC,P2,03-09.1,มี Lead ค้าง,1,เปิดหน้า Manual Assign,,แสดงข้อมูล Lead ครบ
TC-15-02,2,TC-15-02 เลือก Lead + LC + Assign,P1,03-09.2/3,มี Lead + LC,1,"เลือก Lead, เลือก LC, Assign",,assign สำเร็จ
TC-15-03,2,TC-15-03 บันทึก Agent Code + วันเวลา + ผู้ assign,P1,03-09.4,assign แล้ว,1,ตรวจ audit log,,บันทึกครบ
TC-15-04,2,TC-15-04 แจ้งเตือน New Lead หลัง Manual Assign,P1,03-09.5,assign สำเร็จ,1,ตรวจ LC Connect,,LC ได้รับแจ้งเตือน
TC-15-05,2,TC-15-05 Assign Lead ที่มี LC อยู่แล้ว (ซ้ำ),P2,03-09,Lead มี LC แล้ว,1,พยายาม assign ซ้ำ,,ป้องกัน/เตือน
TC-16-01,2,TC-16-01 เข้าถึง Lead จากเมนู My Lead,P2,03-11.1,LC มี Lead,1,เปิด My Lead,,เห็นรายการ Lead
TC-16-02,2,TC-16-02 เข้าถึง Lead จาก Notification,P2,03-11.1,มีแจ้งเตือน,1,กดแจ้งเตือน,,เข้าหน้า Lead
TC-16-03,2,TC-16-03 Lead Status ถูกต้อง,P2,03-11.2,-,1,ดูรายการ,,แสดงสถานะ ยังไม่ติดต่อ/ติดต่อแล้ว ถูกต้อง
TC-16-04,2,TC-16-04 ปุ่มโทรออกจาก Lead Detail,P2,03-11.3,-,1,กดปุ่มโทร,,โทรออกได้
TC-16-05,2,TC-16-05 ข้อความแจ้งเตือน New Lead ถูกต้อง,P2,03-10.1,-,1,ดูข้อความแจ้งเตือน,,"""Lead ใหม่: คุณ[ชื่อ] สนใจ[แบบประกัน]..."""
TC-16-06,2,TC-16-06 UI ตรงตาม Mockup หน้า 7,P3,03-11.4,-,1,เทียบ Mockup,,UI ตรง Mock Up - Lead Management.pdf
TC-17-01,2,TC-17-01 Hot — เริ่มนับ SLA จากเวลานัด,P1,03-12.1,Lead Hot,1,"นัด 13:00, LC บันทึกผล 13:30",Hot นัด 13:00,ผ่าน SLA
TC-17-02,2,TC-17-02 Hot — เกิน 24 ชม.,P1,03-12,Lead Hot,1,"นัด 13:00 D1, บันทึก 14:00 D2",,เกิน SLA → ดึง Lead คืน
TC-17-03,2,TC-17-03 Hot — ครบ 24 ชม. พอดี,P1,03-12,Lead Hot,1,"นัด 13:00 D1, บันทึก 13:00 D2",,ตรวจ behavior ที่ขอบเขต (ต้อง clarify inclusive/exclusive)
TC-17-04,2,TC-17-04 Warm — assign ในเวลา 9-18,P1,03-12.1,Lead Warm,1,"assign 10:00, บันทึก 12:00",Warm assign 10:00,นับจาก 10:00 ผ่าน SLA
TC-17-05,2,TC-17-05 Warm — assign 07:00 (ก่อน 9:00),P1,03-12,Lead Warm,1,assign 07:00,Warm assign 07:00,SLA เริ่มนับ 09:00 วันเดียวกัน
TC-17-06,2,TC-17-06 Warm — assign 19:00 (หลัง 18:00),P1,03-12,Lead Warm,1,assign 19:00,Warm assign 19:00,SLA เริ่มนับ 09:00 วันถัดไป
TC-17-07,2,TC-17-07 Warm — assign 18:00 พอดี,P2,03-12,Lead Warm,1,assign 18:00,,ระบุชัดว่าเริ่มนับเมื่อใด (ขอบเขต)
TC-17-08,2,TC-17-08 ติดต่อตาม SLA → ไป 03-13,P1,03-12.2,-,1,บันทึกผลในเวลา,,ดำเนินต่อบันทึกผล
TC-17-09,2,TC-17-09 ไม่ติดต่อใน SLA → ดึง Lead คืน auto,P1,03-12.3,-,1,ปล่อยเกิน SLA,,ระบบดึง Lead คืน Re-assign ตาม 03-08
TC-17-10,2,TC-17-10 ระงับ LC 5 วัน,P2,03-12.3,LC เกิน SLA,1,เลือก 5 วัน,,LC ไม่ได้รับ Lead 5 วัน
TC-17-11,2,TC-17-11 ระงับ LC ถาวร,P2,03-12.3,LC เกิน SLA,1,เลือกถาวร,,LC ไม่ได้รับ Lead จนกว่าจะปลด
TC-17-12,2,TC-17-12 Re-assign LC ใหม่ก็ไม่ติดต่อ → Email 09:00,P1,03-12.4,LC ใหม่เกิน SLA,1,รอ,,Email แจ้งการตลาด 09:00 ทุกวัน
TC-17-13,2,TC-17-13 นับ SLA ข้ามวันหยุด,P2,03-12,SLA คร่อมวันหยุด,1,รอ,,ตรวจการนับ 24 ชม. ต่อเนื่อง (ต้อง clarify)
TC-17-14,2,TC-17-14 ติดต่อได้ + นัดใหม่ → SLA เริ่มจากวันนัด,P1,03-13/03-12,"บันทึกผล ""ติดต่อได้""",1,นัดวันใหม่,,SLA เริ่มจากวันนัด 9-18 ภายใน 24 ชม.
TC-18-01,2,TC-18-01 ติดต่อได้: ขอตัดสินใจก่อน + Calendar,P1,03-13.1.1,Lead assign แล้ว,1,เลือกเหตุผล + นัดวัน,,บันทึก + แจ้งเตือนล่วงหน้า 1 ชม. ก่อนนัด
TC-18-02,2,TC-18-02 ติดต่อได้: ไม่ซื้อ + เหตุผล,P2,03-13.1.2,-,1,เลือกเหตุผลไม่ซื้อ,,บันทึกผล
TC-18-03,2,TC-18-03 ซื้อ — พบใบคำขอ+กรมธรรม์,P1,03-13.1.3.1,มีใน UW,1,"กรอกเลข, ระบบ lookup",เลขพบทั้งคู่,"สถานะ = ""อนุมัติ"""
TC-18-04,2,TC-18-04 ซื้อ — พบใบคำขอ ไม่พบกรมธรรม์,P1,03-13.1.3.2,มีใบคำขอ,1,กรอกเลข,พบใบคำขอ ไม่พบกรมธรรม์,แสดงสถานะตามระบบ UW
TC-18-05,2,TC-18-05 ซื้อ — ไม่พบทั้งคู่,P1,03-13.1.3.3,-,1,กรอกเลขไม่มีใน UW,เลขไม่พบ,"สถานะ = ""ไม่พบข้อมูล"" + แก้ไขเลขได้"
TC-18-06,2,TC-18-06 ซื้อ — ส่ง Auto Email HRA + CC การตลาด,P1,03-13.1.3,บันทึกการซื้อ,1,save,,"ส่ง Email ถึง HRA, CC การตลาด"
TC-18-07,2,TC-18-07 ติดต่อไม่ได้ ครั้งที่ 1 + เหตุผล,P1,03-13.2,-,1,บันทึก ไม่ได้ฝากลีด,,บันทึก + ต้องกรอกวันติดตาม ≤7 วัน
