TCID,Title,Trace,Priority,Type,Objective,Pre-condition,Test Data,Step #,Action,Expected Result
TC-17-02,,,,,,,,3,ตรวจสถานะ Lead,ระบบดึง Lead คืนอัตโนมัติเพื่อ Re-assign ตามคิว 03-08
TC-17-02,,,,,,,,4,ตรวจสถานะ LC ที่พลาด SLA,LC ถูกระงับการรับ Lead ตามจำนวนวันที่กำหนด (5/10/15/20/ถาวร)
TC-17-12,SLA — Re-assign แล้วยังเกิน SLA ต้อง Email แจ้งการตลาด 09:00,03-12.4,P1,Negative,ยืนยันว่าเมื่อ Lead ถูก Re-assign ให้ LC ใหม่แล้วยังไม่ติดต่อตาม SLA ระบบส่ง Email แจ้งฝ่ายการตลาดเวลา 09:00 ทุกวัน,Lead ถูกดึงคืนและ Re-assign ให้ LC ท่านใหม่แล้ว,Lead ที่ผ่านการ Re-assign 1 รอบ,1,ปล่อยให้ LC ท่านใหม่ไม่ติดต่อจนเกิน SLA,Lead ค้างเกิน SLA
TC-17-12,,,,,,,,2,รอถึงเวลา 09:00,ระบบส่ง Email แจ้งฝ่ายการตลาดตาม Template_BRD_03-Lead Management
TC-17-12,,,,,,,,3,ตรวจว่ามี Lead ดังกล่าวในเนื้อหา Email,Email ระบุ Lead ที่ค้างครบถ้วน
TC-17-12,,,,,,,,4,รอวันถัดไป 09:00 (ถ้ายังค้าง),ส่ง Email ซ้ำทุกวันจนกว่าจะจัดการ
TC-14-02,Auto Assign — ลำดับความสำคัญ จังหวัด → ผลงานทุกงวด → บางงวด,03-08.3,P1,Positive,ยืนยันว่าระบบเลือก LC ตามลำดับ: รับผิดชอบจังหวัดเดียวกับ Lead → ผลงานทุกงวด → ผลงานบางงวด,มี LC อย่างน้อย 3 คนในจังหวัดเดียวกัน ผลงานต่างระดับ,"LC-A (จังหวัด X, ผลงานทุกงวด), LC-B (จังหวัด X, ผลงานบางงวด), LC-C (จังหวัด Y)",1,สร้าง Lead จังหวัด X,Lead Scoring คำนวณ
TC-14-02,,,,,,,,2,ให้ระบบ Auto Assign,assign ให้ LC ในจังหวัด X เท่านั้น (ไม่ใช่ LC-C)
TC-14-02,,,,,,,,3,ตรวจว่าเลือก LC-A หรือ LC-B,เลือก LC-A (ผลงานทุกงวด) ก่อน LC-B
TC-14-02,,,,,,,,4,ปิดใช้งาน LC-A แล้วสร้าง Lead จังหวัด X ใหม่,assign ให้ LC-B (ผลงานบางงวด)
TC-14-03,Auto Assign — Tie-break ด้วยจำนวนกรมธรรม์ใหม่ 3 งวด (ไม่รวม PA),03-08,P1,Positive,เมื่อ LC ผลงานระดับเดียวกัน ใช้จำนวนกรมธรรม์ใหม่ (ไม่รวม PA) ที่อนุมัติ 3 งวดย้อนหลัง มาก→น้อย,มี LC 2 คนจังหวัดเดียวกัน ผลงานระดับเดียวกัน,LC-A: กรมธรรม์ใหม่ 3 งวด = 10 ฉบับ (ไม่รวม PA); LC-B = 7 ฉบับ,1,สร้าง Lead จังหวัดเดียวกับ LC-A และ LC-B,-
TC-14-03,,,,,,,,2,ให้ระบบ Auto Assign,assign ให้ LC-A (กรมธรรม์ใหม่มากกว่า)
TC-14-03,,,,,,,,3,ตรวจว่า PA ไม่ถูกนับ,ปรับข้อมูลให้ LC-B มี PA เพิ่มจนยอดรวมเกิน LC-A → ระบบยังเลือก LC-A (เพราะไม่นับ PA)
TC-14-05,Auto Assign — Round Robin หมุนเวียนคิว ไม่กระจุกตัว,03-08,P1,Positive,ยืนยันว่า LC ที่ได้รับ Lead ล่าสุดถูกเลื่อนไปท้ายคิว และ Lead ถัดไปไปยัง LC ลำดับถัดไป,"มี LC เข้าเงื่อนไขเท่ากัน 3 คน (LC-1, LC-2, LC-3) ในคิว",Lead ใหม่ 4 รายการต่อเนื่อง,1,สร้าง Lead รายการที่ 1,"assign LC-1, LC-1 ไปท้ายคิว (คิว: LC-2, LC-3, LC-1)"
TC-14-05,,,,,,,,2,สร้าง Lead รายการที่ 2,"assign LC-2 (คิว: LC-3, LC-1, LC-2)"
TC-14-05,,,,,,,,3,สร้าง Lead รายการที่ 3,"assign LC-3 (คิว: LC-1, LC-2, LC-3)"
TC-14-05,,,,,,,,4,สร้าง Lead รายการที่ 4,assign LC-1 อีกครั้ง (วนครบรอบ) — ยืนยันกระจายเท่ากัน ไม่กระจุก
TC-14-10,Lead Scoring — Hot vs Warm จากช่วงเวลาติดต่อ,03-08,P1,Positive,"ยืนยันการกำหนด Lead Scoring: มีช่วงเวลาติดต่อ = Hot, ไม่มี = Warm",-,Lead A: ระบุ 09:00-12:00 ; Lead B: ไม่ระบุ,1,บันทึก Lead A พร้อมช่วงเวลา 09:00-12:00,Lead Scoring = Hot Lead
TC-14-10,,,,,,,,2,บันทึก Lead B โดยเว้นช่วงเวลาว่าง,Lead Scoring = Warm Lead
TC-14-10,,,,,,,,3,"ตรวจว่า SLA ของ Hot นับจากเวลานัด, Warm นับจากเวลา assign",SLA คำนวณตาม Scoring ถูกต้อง
TC-14-08,Auto Assign — ไม่พบ candidate ต้องแจ้ง Email ให้การตลาด Manual Assign,03-08,P1,Negative,ยืนยันว่ากรณีไม่มี LC เข้าเงื่อนไข ระบบส่ง Email ให้การตลาดเพื่อ Manual Assign,จังหวัดของ Lead ไม่มี LC รับผิดชอบ,Lead จังหวัดที่ไม่มี LC,1,สร้าง Lead ในจังหวัดที่ไม่มี LC,ระบบหา candidate ไม่พบ
TC-14-08,,,,,,,,2,ตรวจ Email ฝ่ายการตลาด,ส่ง Email แจ้งให้ Manual Assign ตาม Template
TC-14-08,,,,,,,,3,เปิดหน้า Manual Assign (03-09),Lead ปรากฏในรายการรอ assign
