Section,Lot,Title,Type,Priority,Preconditions,Steps,Expected Result,References,Test Data
TS-04,Lot 1,TC-04-07 Exclude Consent = No,Negative,P1,-,เปิด exclude Consent No,ลูกค้า Consent=No ไม่อยู่ในกลุ่ม,02-3.2,Customer Consent=No
TS-04,Lot 1,TC-04-08 Exclude Do-not-contact list,Negative,P1,-,เปิด exclude do-not-contact,เบอร์ที่อยู่ใน do-not-contact ถูกตัดออก,02-3.2,Customer ใน do-not-contact
TS-04,Lot 1,TC-04-09 แสดง metadata Segment,Positive,P3,มี Segment,เปิดดู Segment,"แสดง Created by/on, Modified, running no ถูกต้อง",02-3.3,
TS-04,Lot 1,TC-04-10 Export Raw Data by Campaign,Positive,P2,มี Segment,กด Export,ได้ไฟล์ Raw Data ตาม Template,02-3.4,
TS-05,Lot 1,TC-05-01 ส่ง Audience ไป Facebook Ads,Positive,P2,มี Segment,เลือก Segment + Manual คลิกส่ง FB Ads,FB Ads รับข้อมูลทำ Customer Match,02-4,
TS-05,Lot 1,TC-05-02 ส่ง Audience ไป Google Ads,Positive,P2,มี Segment,เลือก Segment + ส่ง Google Ads,Google Ads รับข้อมูล,02-4,
TS-05,Lot 1,TC-05-03 ส่งเฉพาะ Mobile No. แยกตาม Segment,Positive,P2,มี Segment,ส่ง Audience,ส่งเฉพาะ Mobile No. ของ Customer ตาม Segment,02-4,
TS-06,Lot 3,TC-06-01 สร้าง Campaign ชื่อไม่ซ้ำ,Positive,P1,-,สร้าง Campaign,บันทึกสำเร็จ,02-5.1,
TS-06,Lot 3,TC-06-02 ตั้งชื่อ Campaign ซ้ำ,Negative,P1,มีชื่อนี้แล้ว,สร้างชื่อซ้ำ,ปฏิเสธ,02-5.1,
TS-06,Lot 3,TC-06-03 เลือกหลายช่องทาง,Positive,P1,มี Message ทุกช่องทาง,เลือกครบ 4 ช่องทาง,ผูก Message ได้ทุกช่องทาง,02-5.1,
TS-06,Lot 3,TC-06-04 ส่งทันที (Immediate),Positive,P1,Campaign อนุมัติแล้ว,"เลือก ""ส่งทันที""",ส่งทันทีหลังอนุมัติ,02-5.1,
TS-06,Lot 3,TC-06-05 ส่งตามเวลาที่กำหนด,Positive,P1,-,ตั้งเวลาในอนาคต,ส่งตรงเวลาที่กำหนด,02-5.1,
TS-06,Lot 3,TC-06-06 แก้เวลาส่งก่อนถึงกำหนด,Positive,P2,Campaign ตั้งเวลาไว้,แก้เวลาก่อนส่ง,เวลาส่งอัปเดต,02-5.1,
TS-06,Lot 3,TC-06-07 หลาย Tag / Tag ซ้ำชื่อได้,Positive,P3,-,ใส่ 2 Tag ชื่อซ้ำ Campaign อื่น,ระบบยอมรับ,02-5.1,
TS-06,Lot 3,TC-06-08 สถานะ Publish/Off,Positive,P2,มี Campaign,เปลี่ยนสถานะ,แสดงสถานะถูกต้อง,02-5.1,
TS-06,Lot 3,TC-06-09 Retarget จากกลุ่ม Open/Click,Positive,P2,Campaign ส่งแล้ว,สร้าง retarget ตาม Action=Click,ส่งข้อมูลกลุ่มไป FB/Google,02-5.1,
TS-06,Lot 3,TC-06-10 นับ Sent = เฉพาะที่ส่งสำเร็จ,Positive,P1,ส่ง 100 สำเร็จ 95,ตรวจตัวเลข Sent,Sent = 95,02-5/02-10,ส่ง 100 fail 5
TS-06,Lot 3,TC-06-11 นับ Open = เฉพาะคนเปิดอ่าน,Positive,P1,40 คนเปิด,ตรวจ Open,Open = 40,02-10.2,
TS-06,Lot 3,TC-06-12 นับ Unique Click (ไม่นับซ้ำ),Boundary,P1,1 คนคลิก 3 ครั้ง,ตรวจ Unique Click,Unique Click +1,02-10.4,
TS-07,Lot 3,TC-07-01 สร้าง Message ชื่อไม่ซ้ำ,Positive,P2,-,สร้าง Message,สำเร็จ,02-6.1,
TS-07,Lot 3,TC-07-02 SMS = Text + Link เท่านั้น,Positive,P2,-,สร้าง Message SMS,บังคับรูปแบบ Text+Link,02-6.1,
TS-07,Lot 3,TC-07-03 Email/Line = Image + Text + Link,Positive,P2,-,สร้าง Message Email,รองรับรูปภาพ+ข้อความ+ลิงก์,02-6.1,
TS-07,Lot 3,TC-07-04 Personalization variable,Positive,P1,มีข้อมูลลูกค้า,"ใส่ตัวแปร {ชื่อ},{เลขกรมธรรม์}",Preview/ส่งจริงแสดงข้อมูลลูกค้าจริง,02-6.1,Customer ชื่อ+กรมธรรม์
TS-07,Lot 3,TC-07-05 แปลง Link เป็น Shortlink (Infobip),Positive,P2,-,ติ๊ก shorten link,Link ถูกย่อ,02-6.1,
TS-07,Lot 3,TC-07-06 นับ Character & Credit SMS,Positive,P2,-,พิมพ์ข้อความ SMS,แสดงจำนวนตัวอักษร + credit ที่ใช้,02-6,
TS-07,Lot 3,TC-07-07 SMS ภาษาไทยยาว (multi-part),Boundary,P2,-,ใส่ข้อความไทยยาว,credit คำนวณตามจำนวน segment ถูกต้อง,02-6,SMS ไทยยาว
TS-07,Lot 3,TC-07-08 Preview ข้อความ,Positive,P3,-,กด Preview,แสดงตัวอย่างตรงช่องทาง,02-6.1,
TS-07,Lot 3,TC-07-09 Clone Message,Positive,P3,มี Message,Clone,ได้ Message ใหม่,02-6.1,
TS-08,Lot 3,TC-08-01 Maker สร้าง+ผูก Segment → ขออนุมัติ,Positive,P1,สิทธิ์ Maker,สร้าง Campaign + ผูก Segment + ส่งขออนุมัติ,"สถานะ ""รออนุมัติ""",02-7-1,
TS-08,Lot 3,TC-08-02 Approver อนุมัติ → ส่งตาม 02-8,Positive,P1,สิทธิ์ Approver,กด Approve,ระบบดำเนินการส่ง Campaign,02-7-2,
TS-08,Lot 3,TC-08-03 Approver ไม่อนุมัติ → ไม่ส่ง,Negative,P1,สิทธิ์ Approver,กด Reject,ระบบไม่ส่ง Campaign,02-7-2,
TS-08,Lot 3,TC-08-04 Maker ไม่สามารถอนุมัติงานตนเอง,Negative,P1,login Maker,พยายามอนุมัติ,ไม่อนุญาต,02-7,
TS-08,Lot 3,TC-08-05 แก้ Campaign หลังอนุมัติแล้ว,Negative,P2,Campaign อนุมัติแล้ว,พยายามแก้หลัง Approve,ตรวจ behavior (ควรล็อก/ขออนุมัติใหม่) — ต้อง clarify,02-7,
TS-09,Lot 3,TC-09-01 ส่งตรงตามเวลาที่ตั้ง,Positive,P1,Campaign อนุมัติ + ตั้งเวลา,ถึงเวลา schedule,ส่งครบทุกช่องทางที่ระบุ,02-8,
TS-09,Lot 3,TC-09-02 ยึดเบอร์/อีเมลจาก CIS,Positive,P1,ลูกค้ามีข้อมูลหลายแหล่ง,ส่ง Campaign,ใช้เบอร์/อีเมลจาก CIS เท่านั้น,02-8,Customer หลายแหล่ง
TS-09,Lot 3,TC-09-03 ส่งไม่สำเร็จบางราย → สรุปจำนวน+user,Negative,P1,-,จำลองส่ง fail 5 ราย,ระบบสรุปจำนวน + รายชื่อที่ fail,02-8,ส่ง fail 5
TS-09,Lot 3,TC-09-04 ส่ง SMS ผ่าน Infobip,Positive,P2,-,ส่งช่องทาง SMS,ลูกค้าได้รับ SMS,02-8,
TS-09,Lot 3,TC-09-05 ลูกค้าได้รับครบทุกช่องทาง,Positive,P2,-,ตรวจปลายทาง,ได้รับตามช่องทางที่ระบุ,02-9,
TS-09,Lot 3,TC-09-06 ลูกค้าใน do-not-contact ไม่ได้รับ,Negative,P1,มีลูกค้า do-not-contact ใน segment,ส่ง Campaign,ไม่ส่งให้รายนั้น,02-8,Customer do-not-contact
TS-10,Lot 3,TC-10-01 เก็บจำนวนผู้รับต่อ Campaign,Positive,P1,ส่งเสร็จ,ตรวจตัวเลข,บันทึกจำนวนถูกต้อง,02-10.1,
TS-10,Lot 3,TC-10-02 เก็บวัน-เวลาเปิดอ่านราย user,Positive,P2,user เปิดอ่าน,ตรวจ log,บันทึก timestamp ราย user,02-10.5,
TS-10,Lot 3,TC-10-03 Export Raw Data by User,Positive,P2,มีข้อมูล,กด Export,ได้ไฟล์ตาม Template,02-10,
TS-10,Lot 3,TC-10-04 Automail Monthly Report,Positive,P2,สิ้นเดือน,วันที่ 1 เดือนถัดไป 13:00,ส่งสรุปรายเดือนตรงเวลา,02-10,
TS-10,Lot 3,TC-10-05 เก็บข้อมูลจนกว่าจะสั่งลบ,Positive,P3,ผ่านไปหลายเดือน,ตรวจข้อมูล,ข้อมูลยังอยู่,02-10,
TS-11,Lot 2,TC-11-01 ดึง LC ด้วยตนเอง,Positive,P1,เชื่อม OSSS,เลือก LC + ดึง,"ข้อมูล LC เข้าระบบครบ (Agent Code, ชื่อ, ตำแหน่ง, คุณวุฒิ, ผลงาน, สาขา, จังหวัด)",03-01.1,
TS-11,Lot 2,TC-11-02 เลือก 10 รายชื่อ/จังหวัด พอดี,Boundary,P1,-,เลือก 10 ชื่อใน 1 จังหวัด,ยอมรับ,03-01.1,
TS-11,Lot 2,TC-11-03 เลือก 11 รายชื่อ/จังหวัด,Boundary,P1,-,เลือก 11 ชื่อ,ปฏิเสธ/เตือนเกินกำหนด,03-01.1,
TS-11,Lot 2,TC-11-04 เลือก 10 จังหวัด/ครั้ง พอดี,Boundary,P1,-,เลือก 10 จังหวัด,ยอมรับ,03-01.1,
TS-11,Lot 2,TC-11-05 เลือก 11 จังหวัด/ครั้ง,Boundary,P1,-,เลือก 11 จังหวัด,ปฏิเสธ,03-01.1,
TS-11,Lot 2,TC-11-06 ดึงหลายครั้งต่อวัน,Positive,P2,-,ดึงซ้ำหลายครั้ง,ไม่จำกัดจำนวนครั้ง,03-01.1,
TS-11,Lot 2,TC-11-07 LC แก้ข้อมูลใน OSSS → auto update,Positive,P2,LC มีในระบบ,แก้คุณวุฒิใน OSSS,MCMP อัปเดตอัตโนมัติ,03-01.4,
TS-12,Lot 2,TC-12-01 Lead จาก Website (auto),Positive,P1,เชื่อมเว็บไซต์,submit web form,บันทึกเข้าระบบอัตโนมัติ,03-05.1,
TS-12,Lot 2,TC-12-02 Lead จาก Facebook (manual),Positive,P1,สิทธิ์ User,บันทึกทีละราย,บันทึกสำเร็จ,03-05.2,
TS-12,Lot 2,TC-12-03 Contact Center ผ่าน VPN/VDI (WFH),Positive,P2,WFH + VPN,บันทึก Lead,บันทึกได้,03-05.3,
TS-12,Lot 2,TC-12-04 บันทึก Contact Center ไม่ผ่าน VPN (WFH),Negative,P2,WFH ไม่ต่อ VPN,พยายามบันทึก,ไม่สามารถบันทึก,03-05.3,
TS-12,Lot 2,TC-12-05 Import Lead Excel/CSV (CRM),Positive,P1,มีไฟล์,Import,นำเข้าหลายรายการ,03-05.4,ไฟล์ Lead CRM
TS-12,Lot 2,TC-12-06 Dedup 1 ช่องทาง — ยึดล่าสุด #2,Positive,P1,-,กรอกซ้ำ 2 ครั้งจาก Web,เก็บข้อมูล #2 (ล่าสุด),03-05.6.1,Lead ซ้ำ Web
TS-12,Lot 2,TC-12-07 Dedup 1 ช่องทาง — แบบประกันต่างกัน,Positive,P1,-,#1 และ #2 แบบประกันต่างกัน,แสดงทั้ง 2 แบบประกัน,03-05.6.1,
TS-12,Lot 2,TC-12-08 Dedup 1 ช่องทาง — แบบประกันเดียวกัน,Positive,P2,-,#1=#2 แบบประกันเดียวกัน,แสดงแบบประกันเดียว,03-05.6.1,
TS-12,Lot 2,TC-12-09 Dedup 2 ช่องทาง (Web+FB),Positive,P1,-,เบอร์เดียวกันจาก Web และ FB,ยึดล่าสุด + ระบุว่ามาจาก 2 ช่องทาง,03-05.6.2,Lead Web+FB
TS-12,Lot 2,TC-12-10 Dedup 2 ช่องทาง — แบบประกันต่างกัน,Positive,P2,-,แบบประกันต่างกัน,แสดงทั้ง 2 แบบประกัน,03-05.6.2,
TS-12,Lot 2,TC-12-11 Lead ซ้ำ assign LC คนเดียว,Positive,P1,-,Lead ซ้ำหลายครั้ง,assign LC คนเดียวกัน,03-05.6,
TS-12,Lot 2,TC-12-12 นับจำนวนครั้ง/ช่องทางที่ฝาก Lead,Positive,P2,-,ฝาก 3 ครั้ง,แสดงจำนวนครั้ง + ช่องทาง,03-05.6,
TS-13,Lot 2,TC-13-01 ลูกค้าซื้อผ่าน Online,Positive,P2,Lead บันทึกแล้ว,เลือกช่องทาง Online,ระบบส่งข้อมูลไป Google Sheet Digital Sale → 03-07,03-06,
TS-13,Lot 2,TC-13-02 ลูกค้าซื้อผ่านตัวแทน,Positive,P2,Lead บันทึกแล้ว,เลือกช่องทางตัวแทน,เข้าสู่เงื่อนไข Auto Assign 03-08,03-06,
TS-13,Lot 2,TC-13-03 ส่ง Email ให้ Digital Sale (Realtime),Positive,P2,Lead online,บันทึก Lead online,"ส่ง Email Realtime (ชื่อ, เบอร์, ช่วงเวลา, จังหวัด, อีเมล, แบบประกัน)",03-07,
TS-13,Lot 2,TC-13-04 ข้อมูลใน Email Digital Sale ครบถ้วน,Positive,P3,-,ตรวจเนื้อหา Email,มีข้อมูลครบตาม BRD,03-07,
TS-14,Lot 2,TC-14-01 Assign ตามจังหวัด (ลำดับ 1),Positive,P1,มี LC จังหวัด A,Lead จังหวัด A เข้าระบบ,assign ให้ LC จังหวัด A,03-08.3.1,LC จังหวัด A
TS-14,Lot 2,TC-14-02 ผลงานทุกงวด > บางงวด,Positive,P1,2 LC จังหวัดเดียวกัน,Lead เข้า,เลือก LC ผลงานทุกงวดก่อน,03-08.3.2/3,LC ผลงานต่างระดับ
TS-14,Lot 2,TC-14-03 Tie-break จำนวนกรมธรรม์ใหม่ 3 งวด (ไม่รวม PA),Positive,P1,ผลงานเท่ากัน,Lead เข้า,เรียงตามจำนวนกรมธรรม์ใหม่มาก→น้อย,03-08,LC กรมธรรม์ต่างกัน
TS-14,Lot 2,TC-14-04 Tie-break รายได้สะสม 3 งวด,Positive,P2,จำนวนกรมธรรม์เท่ากัน,Lead เข้า,เรียงตามรายได้สะสมมาก→น้อย,03-08,
TS-14,Lot 2,TC-14-05 Round Robin — LC ล่าสุดไปท้ายคิว,Positive,P1,มีหลาย LC ในคิว,assign Lead ติดกันหลายราย,กระจายหมุนเวียน ไม่กระจุก,03-08,
TS-14,Lot 2,TC-14-06 Assign Near-realtime,Positive,P1,-,บันทึก Lead,assign ภายในเวลาสั้น,03-08,
TS-14,Lot 2,TC-14-07 Assign ในวันหยุด,Positive,P1,-,บันทึก Lead วันหยุด,ยัง assign ได้เหมือนวันทำการ,03-08,
TS-14,Lot 2,TC-14-08 ไม่พบ candidate → Email การตลาด,Negative,P1,Lead จังหวัดไม่มี LC,Lead เข้า,ส่ง Email ให้การตลาด Manual Assign,03-08,Lead จังหวัดไม่มี LC
TS-14,Lot 2,TC-14-09 พบ candidate >1 → ตามเงื่อนไข/Manual,Positive,P1,หลาย LC เข้าเงื่อนไข,Lead เข้า,ใช้เกณฑ์ลำดับ หรือเข้าสู่ Manual Assign,03-08,
TS-14,Lot 2,TC-14-10 Lead Scoring = Hot,Positive,P1,-,Lead ระบุช่วงเวลา 09:00-12:00,Scoring = Hot Lead,03-08,Lead Hot
TS-14,Lot 2,TC-14-11 Lead Scoring = Warm,Positive,P1,-,Lead ไม่ระบุช่วงเวลา,Scoring = Warm Lead,03-08,Lead Warm
TS-14,Lot 2,TC-14-12 Assign LC คนเดียวต่อ 1 Lead,Positive,P1,-,Lead ใหม่,assign 1 LC เท่านั้น,03-08,
TS-14,Lot 2,TC-14-13 Dedup เบอร์ทุกช่องทาง/ทุกเวลา,Positive,P1,-,เบอร์ซ้ำเข้าหลายช่องทาง,จับได้ว่าเป็น Lead ซ้ำ,03-08,
TS-14,Lot 2,TC-14-14 Notify New Lead หลัง assign,Positive,P1,assign สำเร็จ,ตรวจ LC Connect,แจ้งเตือน LC ผ่าน LC Connect,03-08→03-10,
TS-15,Lot 2,TC-15-01 แสดงรายการ Lead ที่ยังไม่มี LC,Positive,P2,มี Lead ค้าง,เปิดหน้า Manual Assign,แสดงข้อมูล Lead ครบ,03-09.1,
TS-15,Lot 2,TC-15-02 เลือก Lead + LC + Assign,Positive,P1,มี Lead + LC,"เลือก Lead, เลือก LC, Assign",assign สำเร็จ,03-09.2/3,
TS-15,Lot 2,TC-15-03 บันทึก Agent Code + วันเวลา + ผู้ assign,Positive,P1,assign แล้ว,ตรวจ audit log,บันทึกครบ,03-09.4,
TS-15,Lot 2,TC-15-04 แจ้งเตือน New Lead หลัง Manual Assign,Positive,P1,assign สำเร็จ,ตรวจ LC Connect,LC ได้รับแจ้งเตือน,03-09.5,
TS-15,Lot 2,TC-15-05 Assign Lead ที่มี LC อยู่แล้ว (ซ้ำ),Negative,P2,Lead มี LC แล้ว,พยายาม assign ซ้ำ,ป้องกัน/เตือน,03-09,
TS-16,Lot 2,TC-16-01 เข้าถึง Lead จากเมนู My Lead,Positive,P2,LC มี Lead,เปิด My Lead,เห็นรายการ Lead,03-11.1,
TS-16,Lot 2,TC-16-02 เข้าถึง Lead จาก Notification,Positive,P2,มีแจ้งเตือน,กดแจ้งเตือน,เข้าหน้า Lead,03-11.1,
TS-16,Lot 2,TC-16-03 Lead Status ถูกต้อง,Positive,P2,-,ดูรายการ,แสดงสถานะ ยังไม่ติดต่อ/ติดต่อแล้ว ถูกต้อง,03-11.2,
TS-16,Lot 2,TC-16-04 ปุ่มโทรออกจาก Lead Detail,Positive,P2,-,กดปุ่มโทร,โทรออกได้,03-11.3,
TS-16,Lot 2,TC-16-05 ข้อความแจ้งเตือน New Lead ถูกต้อง,Positive,P2,-,ดูข้อความแจ้งเตือน,"""Lead ใหม่: คุณ[ชื่อ] สนใจ[แบบประกัน]...""",03-10.1,
TS-16,Lot 2,TC-16-06 UI ตรงตาม Mockup หน้า 7,Positive,P3,-,เทียบ Mockup,UI ตรง Mock Up - Lead Management.pdf,03-11.4,
TS-17,Lot 2,TC-17-01 Hot — เริ่มนับ SLA จากเวลานัด,Positive,P1,Lead Hot,"นัด 13:00, LC บันทึกผล 13:30",ผ่าน SLA,03-12.1,Hot นัด 13:00
TS-17,Lot 2,TC-17-02 Hot — เกิน 24 ชม.,Boundary,P1,Lead Hot,"นัด 13:00 D1, บันทึก 14:00 D2",เกิน SLA → ดึง Lead คืน,03-12,
TS-17,Lot 2,TC-17-03 Hot — ครบ 24 ชม. พอดี,Boundary,P1,Lead Hot,"นัด 13:00 D1, บันทึก 13:00 D2",ตรวจ behavior ที่ขอบเขต (ต้อง clarify inclusive/exclusive),03-12,
TS-17,Lot 2,TC-17-04 Warm — assign ในเวลา 9-18,Positive,P1,Lead Warm,"assign 10:00, บันทึก 12:00",นับจาก 10:00 ผ่าน SLA,03-12.1,Warm assign 10:00
TS-17,Lot 2,TC-17-05 Warm — assign 07:00 (ก่อน 9:00),Boundary,P1,Lead Warm,assign 07:00,SLA เริ่มนับ 09:00 วันเดียวกัน,03-12,Warm assign 07:00
TS-17,Lot 2,TC-17-06 Warm — assign 19:00 (หลัง 18:00),Boundary,P1,Lead Warm,assign 19:00,SLA เริ่มนับ 09:00 วันถัดไป,03-12,Warm assign 19:00
TS-17,Lot 2,TC-17-07 Warm — assign 18:00 พอดี,Boundary,P2,Lead Warm,assign 18:00,ระบุชัดว่าเริ่มนับเมื่อใด (ขอบเขต),03-12,
TS-17,Lot 2,TC-17-08 ติดต่อตาม SLA → ไป 03-13,Positive,P1,-,บันทึกผลในเวลา,ดำเนินต่อบันทึกผล,03-12.2,
TS-17,Lot 2,TC-17-09 ไม่ติดต่อใน SLA → ดึง Lead คืน auto,Negative,P1,-,ปล่อยเกิน SLA,ระบบดึง Lead คืน Re-assign ตาม 03-08,03-12.3,
TS-17,Lot 2,TC-17-10 ระงับ LC 5 วัน,Positive,P2,LC เกิน SLA,เลือก 5 วัน,LC ไม่ได้รับ Lead 5 วัน,03-12.3,
TS-17,Lot 2,TC-17-11 ระงับ LC ถาวร,Boundary,P2,LC เกิน SLA,เลือกถาวร,LC ไม่ได้รับ Lead จนกว่าจะปลด,03-12.3,
TS-17,Lot 2,TC-17-12 Re-assign LC ใหม่ก็ไม่ติดต่อ → Email 09:00,Negative,P1,LC ใหม่เกิน SLA,รอ,Email แจ้งการตลาด 09:00 ทุกวัน,03-12.4,
TS-17,Lot 2,TC-17-13 นับ SLA ข้ามวันหยุด,Boundary,P2,SLA คร่อมวันหยุด,รอ,ตรวจการนับ 24 ชม. ต่อเนื่อง (ต้อง clarify),03-12,
TS-17,Lot 2,TC-17-14 ติดต่อได้ + นัดใหม่ → SLA เริ่มจากวันนัด,Positive,P1,"บันทึกผล ""ติดต่อได้""",นัดวันใหม่,SLA เริ่มจากวันนัด 9-18 ภายใน 24 ชม.,03-13/03-12,
TS-18,Lot 2,TC-18-01 ติดต่อได้: ขอตัดสินใจก่อน + Calendar,Positive,P1,Lead assign แล้ว,เลือกเหตุผล + นัดวัน,บันทึก + แจ้งเตือนล่วงหน้า 1 ชม. ก่อนนัด,03-13.1.1,
TS-18,Lot 2,TC-18-02 ติดต่อได้: ไม่ซื้อ + เหตุผล,Positive,P2,-,เลือกเหตุผลไม่ซื้อ,บันทึกผล,03-13.1.2,
